"gouldn","September 2005"," TSX v AccordExactly the same choice I went through ... although I was concerned with Automatics (due to SF bay area traffic). Drove a TSX ... nice handler, but was underpowered in my opinion. Drove a 05 Accord EX-V6 coupe ... tons of power ... same mileage ... and doesn't call for premium fuel. I've driven it about 9K now, and am getting 30MPG in a trafficy commute, about 34 on long trips. Plus I got the coupe for $24.8K. Love it so far ... and I may even keep this one for three years! "
"jjtj","September 2005"," My Silverado 2500 turns about 2K @ 70mph.. 6.0 V8 with a 4-spd automatic & 3.73 gears.. still only gets 15 MPG on the highway though! "
"boomchek","September 2005"," I got my 78 Chevy back on the road today after fixing those tie rod ends  . And I don't know what it turns at 70 mph cause it doesn't have a tach, or even a coolant temp gauge.  "
"ghulet","September 2005"," ....I had a '77 Caprice when I was in high school and college, it had a speedometer, odometer (no trip) and a gas gauge, that was about it; there was a gauge package optional on those cars, but you don't see it too often (not that you even see the cars too often, at this point). Still, that was one of the best cars I ever owned. "
"boomchek","September 2005"," Oh you can enjoy and relive all those memories my friend once you get into this Chevy. It's a 78 Impala which is the same thing as the Caprice and the gauges are exactly as you describe them. I have 99572kms on it and since it's a 5 digit odometer it will turn over to 0 very soon. :shades:The car floats like a boat, handles like a bus, and guzzles gas like there's no tommorow. I'm thinking of selling it but I like it too much.  "
"andre1969","September 2005"," that Impala has a 2.56:1 rear end. If you go to www.tirerack.com, and look up some tires that are the same size that are on your car, in the specs they list how many revolutions per mile the tires will turn. For instance, a 205/75/R-15 tire, which was most likely standard on that car (or they might've cheaped out and put 195/75/R-15s, like Chrysler did on the '79-81 R-bodies) turns 769 rpm. Multiply that by 2.56, and that'll give you the revolutions per mile, which would also happen to be the revolutions per minute at 60 mph. In this case 1969 rpm. To get the rpm@70 mph, just take the 1969 and multiply by 7/6ths, which gives you 2297.Now I'm sure this isn't an exact calculation, but should give you a pretty close estimate. I'd imagine that the actual rpms of the engine would be a bit higher, due to slippage in the transmission and such, even though these cars probably had a lockup torque convertor by that time.Oh, and here's a little nostalgia trip for you guys... http://www.tocmp.com/brochures/Chev/1979/index.html "
"ghulet","September 2005"," ...what engine does your Chevy have (BTW, is it a Caprice or Impala)? Mine had the 305 two-barrel V8, which produced a not-so-robust 145hp, IIRC (less than many four-cylinders do now). It never felt all that underpowered, though, and gas mileage seemed OK at the time (probably about 20mpg on the highway, I imagine about 15 in the city). I suppose this car seemed frugal to me at the time mostly because the car I had before was a '71 Buick Electra, which probably used twice as much fuel.Andre, that brochure reminds me again that almost everything was optional. Didn't matter if you were buying an Impala or Caprice, pretty much the only differences were in trim. If you wanted things we take for granted now on cars (A/C, remote mirrors, rear defrost) on up to more luxurious items (power windows/locks/seat, tilt wheels), you were going to pay for them. Can't remember ever having seen a big Chevy with a power sunroof back then, didn't even know that was optional; of course, you didn't even see those much even on Cadillacs and Lincolns, sunroofs were quite exotic at the time, IIRC. "
"boomchek","September 2005"," I think it has a 305 V8. I personally don't know what the difference is between the Impala and the Caprice as they both looked identical (maybe it was a trim level?).Mine is pretty basic as it has no power windows, no power locks, no tilt, no cruise. It has an AM Radio with ""tone"" control  with a centrally mounted dash speaker (for that surround sound impression :P ).It has no tach, no coolant temp guage, no trip odometer, no factory windshield washer (it does have an aftermarket one ), no right headlight and grille at the moment. It does however have the rear window defroster, four ashtrays, a cigarette lighter, and a big ol' bench seat in the front. On another note I think I'm (gulp) grown up!!!! :surprise: I had my new Civic for a month now and even though I have an aftermarket exhaust and a nice sound system ready for it (from my previous Civic) I am in no hurry to install it. For some reason I want to leave it stock, enjoy the neweness of the car, and have a nice quiet ride. I guess I don't feel the need to impress anyone with a big coffee can exhaust and pounding bass.Maybe next year I'll rebecome immature  "
"andre1969","September 2005"," if it's an Impala or a Caprice is whether or not there's carpeting on the lower door panels. You could get cloth or vinyl in both the Impala and Caprice, but the Impala, at least the '77-85, never had carpeting on the lower door panels. As for the grille, they were very close in '78, but the Caprice had kind of an eggcrate grille, with the horizontal bars being about as thick as the vertical bars, while the Impala's grille had three prominent horizontal bars, and with much more horizontal grille openings.Impala and Caprice taillights were usually different, too. The Impala usually had the backup light in between the two outer lights. The Caprice usually had three red taillights on either side, with backup lights inboard, framing the license plate.As for whether it's a 305 or a 350, chances are it's a 305. That's how most of them were equipped. One way to tell though, would be to take the top off the air cleaner and see whether it's a 2-bbl or a 4-bbl. I think there was a 4-bbl option for the 305, but the vast majority of them were 2-bbls. The 350 was only offered as a 4-bbl by that time.The 350 is also a pretty gutsy engine, even the emasculated ones from around that time. While it only had 170 hp, I think it had around 280-290 ft-lb of torque. So if you had one, I don't think you'd be complaining about it feeling weak or anything! Well, unless you're used to driving Mustang 5.0's or something! :shades: "
"ghulet","September 2005"," ...the Mustang 5.0s of the time only had about 150hp, IIRC, so the 350 would only compare unfavorably to a newer version. Actually, I got the Caprice rather than the orange '79 Mercury Capri 5.0 someone was selling right around the corner from my HS. I really liked that car, but it was more money than mom wanted to spend (actually, my uncle talked her out of it, I think he was jealous), so I got the Caprice instead, which was probably a good thing in the end (I got in enough trouble as a teenager with a car, absent parents and a fairly serious substance abuse problem as it was, don't think an orange V8 pony car would have helped any!). "
"michaellno","September 2005"," Just came back from the local Ford dealer .. working from home today, stopped in to get an idea of what the 30K service will be for the Focus. Service advisor handed me a pamphlet, portions of which I will paste here:30K service includes:Change Engine Oil and FilterLubricate Steering and SuspensionInspect Tires for Wear and RotateInspect Steering and SuspensionInspect Air Filter, extra if neededReplace Cabin Air Filter, if equipped, extra if neededInspect Brake SystemPerform Transmission Flush ServiceReplace Fuel FilterPerform Power Steering ServicePerform Multi-Point InspectionWith BG MOA Oil Additive, add $10.52 ea.The cost for all of the above?A low, low, $388.75!Gulp!Comments? "
"stickguy","September 2005"," probably about right for a dealer service. And while it probably includes some items that aren't required in the manual, I would do all of them except maybe the PS service, just as preventive maintenance. Assuming of course you plan to keep the car for a while.You could save some money by having it done by a local mechanic if you have one, but probably not that much, since there is a fair amount of labor involved. Or, do some of the easy stuff yourself and save some $$ (stuff like the air filter). You can also save by having the rotation and various inspections done at a reputable tire/brake shop.pretty much it becomes a function of how comfortable you are with non-dealer service centers, and how much time/energy you want to invest in the process.But, a Focus isn't exactly a Maybach, so you should be able to get this basic service done just about anywhere. The only piece that I worry about is the tranny service, since you want to make sure they use the correct fluid. That one I always like a dealer to do, but that's just me.Hey, you asked for my opinion! "
"andre1969","September 2005"," the power steering service is most likely Bull. FWIW, I've NEVER had a power steering service done on my '00 Intrepid, and it's got 110,000 miles on it now. Although now that I said that, watch it fail on me! I've never had a fuel filter replaced, either. Usually they're in the tank nowadays, and they're supposed to be good for the life of the car...which means that when they DO fail, you're talking some big bucks!I also doubt there's anything in the steering and suspension that can be lubed anymore...isn't most of that stuff usually sealed away these days? I thought grease fittings were a thing of the past? You might want to get the tranny service done, depending on how you drive. I've had my Intrepid's tranny done every 30,000 miles, just to be safe. The last time I had it done was at a local tranny shop, and they charged around $78.$388 sounds like an awful lot to me for just poking around a car, rotating the tires, changing a few filters, and flushing the power steering and tranny. But, the times they are a'changin'! "
"stickguy","September 2005"," isn't this FOcus a stick? If so, discount the price of the tranny service, since that assumes it is an AT. At most, they would drain/refill the transaxle fluid, which probably isn't needed at this point anyway, but a local guy could easily do it. "
"andre1969","September 2005"," the Dodge dealer tried to get me to come in for a 30,000 mile service on my Intrepid. They wanted to hit me up with a bunch of stuff like belts (60K interval, according to the owner's manual) and hoses (5yr/100K), coolant flush 5yr/100k), a tuneup (50k severe service/100K ""regular"" service), and other assorted bull, for around $300. The main thing I was concerned about was the transmission, which this service didn't even cover! I think they wanted to hit me with another $150 or so for that! "
"rowlandj","September 2005"," Find out what the warranty requires and find a local shop to do whatever the owners manual suggests for each service interval.All that 'inspect this and that' is pretty much nonsense at the mileage you have. I am sure that the actual MANUFACTURER recommended items have much longer intervals and I think the dealers load up their services way over what is needed.Finally, I think you will find that there would be a recommendation in the owners manual against any kind of oil or fuel additives so that last line makes me call the entire thing into question even if the rest were valid items.JR "
"bobst","September 2005"," The moral of the story: Find a service provider you can trust.From my unfortunate experience with a Ford, I think yours at 30K miles is about on its last legs. If you find someone you trust to service the car, it may last for a few more days. "
"andre1969","September 2005"," sounds like a Ford-hater! :shades: FWIW, there's a kid here at work with a 2000 Focus, and he doesn't take very good care of it. It's a 5-speed, and he's got around 83,000 miles on it. Now I doubt that he'll make it to 100K miles, but when it blows I think it'll be more his fault than the car's! "
"michaellno","September 2005"," I called the dealer where I purchased the Focus, and they quoted me $425 for the 30K service!I asked about the transmission, since it is a stick, and they told me they drop the pan, check the gaskets and filters, and replace the fluid.Next step will be to check the owners manual to see what the manufacturer says ought to be done.bobst: ouch! I'm kinda hoping that it'll last longer than the 31K I currently have on it .. though I know you have an affinity for Honda products, I'm reasonably confident that the stuff made in the US (well, Mexico in the case of the Focus) is pretty well screwed together. Other than the normal lube, oil and filter, plus some tire rotations, the Focus hasn't needed to see the inside of the shop in the 22 months we've owned it. "
"qbrozen","September 2005"," I would get under the car and make sure that tranny even has a pan. I can't remember a manual tranny I've owned that had one.2nd, as far as all those ""inspect this and that"" garbage, why not do it yourself? Take a look at the brakes. Pads and rotors still good? Done.Check the belts. not frayed? tension good? Done.Etc.I don't believe in paying a dealer to check anything. I check it and I'll tell them when its time to replace or fix. "
"gee35coupe","September 2005"," Lose that service guy quick. "
"akangl","September 2005"," Had Zippy's 30k service done and she's now at 47k with no issues. I use Amsoil 0W-30, change the oil filter at 12,500 miles and change the oil and filter at 25k. Been doing this since she had 10k miles on her with no issues. Last oil analysis showed the oil was ready to be changed at 25k (had already changed it), but no issues with the engine. "
"ghulet","September 2005"," I doubt, in this day and age, a 'relatively' simple car like a Focus should need a $400 service at 30k. It's always good to have the basics checked out, but often you can have half that stuff done free or at nominal cost with an oil change. As far as brakes, they normally go at about 40k, right? So just pay attention to the squeaking, same as always; fluids can be checked in a few minutes, then topped off; and with a manual transmission, I can't see the need for any 'transmission service'. "
"nippononly","September 2005"," Manual transmissions have a case, not a pan, and have no filters to check. Lose that service department in a DOUBLE quick hurry. They are either completely incompetent or more likely trying to rip you off by charging you for a ""standard service"" consisting mostly of items your car doesn't need!It doesn't even need fresh transmission oil at that age, really. "
"anonymousposts","September 2005"," How's the LS working out? Do you regret trading the 350 yet? "
"michaellno","September 2005"," Thanks for the feedback ... the only issues that the car is having at the moment is some squeaking brakes (been that way since I bought the car), but now I'm getting a bit of ""shudder"" through the steering wheel, which may mean that I need to have them looked at a bit closer, plus the power steering ""groans"" when making a left turn.I've never been much of a shade tree mechanic - I once drained the crankcase of my folks '73 Corona and put 5 quarts of oil in the transmission, then attempted to drive 35 miles to a basketball game when I was in high school - so I've never had a problem taking my cars into the dealer for service.But, as many of you rightfully point out, $400 for what amounts to a glorified LOF with a bunch of inspections seems a bit steep.I'm curious as to what the local ""drive thru"" oil change place would charge .. perhaps a phone call to them might be in order.BTW, this would be the last visit to the dealer while the car is still under the 3/36 warranty, so there might be an advantage to having them give the car a once over and get any warranty items taken care of. "
"stickguy","September 2005"," good point. If the PS is groaning, have them look at that at least. "
"andre1969","September 2005"," the shudder occur? If it does it while you're braking, then your rotors could be warped. Otherwise, you might just need your tires balanced. Often when your tires go out of balance, there's a certain speed that the car will shudder. For instance, my '89 Gran Fury used to be fine up to around 60 mph, but would then shudder, until you got it up over 70 or so.One other possibility is a bent rim, which might also make the steering shudder at certain speeds.Also, you might want to watch some of those quickie lube places...they're often more gouge-happy than the dealer! I guess I'm also a bit leery, because I've had bad experiences with some of them. Years ago, my uncle took our '85 Silverado to a quickie place to have the oil changed. This was back in the early 90's, when it hardly got driven. I was still in college, and maybe once or twice a week I'd drive it to school just so it wouldn't sit. Well, one morning, a few days after the oil had been changed, I hopped in the truck and turned the key. Oil light came on like it normally does...but never went off! I shut it off immediately, popped the hood, and checked the dipstick. Dry. Looked underneath to find a loose drainplug, and a nice slick on the grass where the truck was parked.Oh, and a few years ago, I had a bit of a run-in with Firestone. The exact quote I got from the managerette on duty was ""LOOK, we don't have time to look up the oil requirements of every single car out there. 10W-30 works fine with most of them!"" Ummm, seems to me that if you're a professional, then knowing, or looking up if you DON'T know, the oil requirements of a customer's car just goes with the territory! Oh yeah, the only times I've had power steering groan was when it was running low on fluid. It was saying ""FEED ME""!  "
"asafonov","September 2005"," I would stay away from massively franchised LOF shops (everybody knows their names) that advertise 12.99 or 15.99 oil changes. Use word of mouth, or Cartalk's Mechani-X files search to locate a reputable mechanic in your area. I'd rather pay extra 5 or 10 dollars for an oil change for the knowledge that it is performed by somebody I know, with more than a few days experience on the job. "
"qbrozen","September 2005"," its fine, thanks for asking. Not as comfy as my volvo and certainly not as sporty as the Z, but it does ok. makes for a decent highway cruiser.Heck, I regretted trading the Z before I even did it, but sometimes you gotta do things you don't want to do.Saw that new Z commercial on TV last night. That was painful.  "
"stickguy","September 2005"," went for a test drive today (2006 Civic). DIdn't do any business, bucause while I liked the car, I wasn't swpet off my feet on the first date. I plan to go look and drive another one tomorrow to see how things go. But for now, I'm probably maintaining status quo, but I am definitely officially in the market.The 2006 Accord was a nice piece, but they are up to $24,700 MSRP for an EX-L 4 cyl 5 speed stick. Lotta coin for the configuration.I'm real interested in seeing the Fusion when it comes out to compare it to the Honda's. Doesn't hurt that my neighbor is the GSM at a Ford dealer either. "
"stickguy","September 2005"," but the last couple of trips down that road haven't been as fulfilling as I hoped. I just need to figure out what I really want, and buy it and hold onto it for a long time. And since my eldest just started high school, forever may be a long, long time (tuition issues and all that). "
