recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,attributes_patterns,POS_all,cluster,sentiment_scores_noun_pos_vader,sentiment_score_noun_pos_vader,sentiment_scores_all_pos_vader,sentiment_score_all_pos_vader,sentiment_score_review_spacy,sentiment_score_noun_pos_spacy,sentiment_score_all_pos_spacy,consistency_noun_pos_vader,consistency_all_pos_vader,consistency_review_spacy,consistency_noun_pos_spacy,consistency_all_pos_spacy
157592673,english,"very fun game. the animals are very cute, the music is absolutely fantastic, and the devs update it pretty frequently with new skins/characters and gamemodes.",1707068019,1707068019,True,0,0,0.0,0,True,False,False,True,,,,76561197987140501,0,10,7864,600,7712,1707109536,"['fun game', 'new skins/characters']","['very', 'fun', 'game', 'animals', 'are', 'very', 'cute', 'music', 'is', 'absolutely', 'fantastic', 'devs', 'update', 'pretty', 'frequently', 'new', 'skins/characters', 'gamemodes']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.21805194805194805,0.012121212121212107,0.2377272727272727,inconsistent,inconsistent,consistent,consistent,consistent
157554594,english,it's just super fun. i love pvpin friends,1707030713,1707030713,True,0,0,0.0,0,True,False,False,True,,,,76561199503158814,0,1,3482,1295,3316,1707116694,['super fun'],"[""'s"", 'just', 'super', 'fun', 'i', 'love', 'pvpin', 'friends']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.37777777777777777,0.31666666666666665,0.37777777777777777,inconsistent,inconsistent,consistent,consistent,consistent
157524237,english,funny,1706994639,1706994639,True,0,0,0.0,0,True,False,False,True,,,,76561199501844583,0,1,2892,833,2781,1707104250,[],['funny'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.25,0.0,0.25,inconsistent,inconsistent,consistent,inconsistent,consistent
157498882,english,,1706973887,1706973887,True,0,0,0.0,0,True,False,False,True,,,,76561199277058765,0,3,2064,2064,1890,1707022956,[],['nan'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157457310,english,sharky go bonk,1706928253,1706928253,True,0,0,0.0,0,True,False,False,True,,,,76561198211834511,58,3,1232,1232,1145,1707012769,[],"['sharky', 'go', 'bonk']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
157453285,english,its very fun and funny to play with friends,1706923355,1706923355,True,0,0,0.0,0,True,False,False,True,,,,76561199445453623,0,1,3511,673,3507,1706923654,[],"['very', 'fun', 'funny', 'play', 'friends']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.32,0.0,0.32,inconsistent,inconsistent,consistent,inconsistent,consistent
157442984,english,really good game,1706911368,1706911368,True,0,0,0.0,0,True,False,False,True,,,,76561199333837070,0,5,2291,2291,473,1707114094,['good game'],"['really', 'good', 'game']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.14999999999999997,0.14999999999999997,0.14999999999999997,inconsistent,inconsistent,consistent,consistent,consistent
157422381,english,an excellent party game. when played with friends this game gives constant fun and hilarious moments. i highly recommend this game to anyone who loves little fuzzy things and constant chaos.,1706893607,1706893607,True,0,0,0.0,0,True,False,False,True,,,,76561198024310733,265,30,1380,1380,1194,1707111048,"['excellent party', 'constant fun', 'hilarious moments', 'fuzzy things', 'constant chaos']","['excellent', 'party', 'game', 'played', 'friends', 'game', 'gives', 'constant', 'fun', 'hilarious', 'moments', 'i', 'highly', 'recommend', 'game', 'anyone', 'loves', 'little', 'fuzzy', 'things', 'constant', 'chaos']",0,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.4019,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.05724999999999999,0.36,0.05724999999999999,consistent,inconsistent,consistent,consistent,consistent
157401916,english,"complete fun, just wish if there were more animals and events.",1706873773,1706873773,True,0,0,0.0,0,True,False,False,True,,,,76561199469071073,54,2,4593,464,4593,1706684632,"['complete fun', 'more animals']","['complete', 'fun', 'just', 'wish', 'were', 'more', 'animals', 'events']",0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3,0.3,0.3,inconsistent,inconsistent,consistent,consistent,consistent
157392341,english,you need this.,1706861303,1706861303,True,0,0,0.0,0,True,False,False,True,,,,76561197965854529,0,2,4133,1357,3642,1707116605,[],['need'],0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,inconsistent,inconsistent,inconsistent,inconsistent,inconsistent
